label,node,genus,species,scientificname.y,virus_name,vtaxid,interaction,uid,mostaxid,virus_code
Culex_sitiens,25,Culex,sitiens,Culex sitiens,Murray Valley encephalitis virus,11079,1,162998,162998,MVEV
Culex_sitiens,25,Culex,sitiens,Culex sitiens,West Nile virus,11082,1,162998,162998,WNV
Culex_sinaiticus,26,Culex,sinaiticus,Culex sinaiticus,West Nile virus,11082,1,1799677,1799677,WNV
Culex_pseudovishnui,27,Culex,pseudovishnui,Culex pseudovishnui,Japanese encephalitis virus,11072,1,100677,100677,JEV
Culex_pseudovishnui,27,Culex,pseudovishnui,Culex pseudovishnui,West Nile virus,11082,1,100677,100677,WNV
Culex_duttoni,28,Culex,duttoni,Culex duttoni,NA,NA,0,1799675,1799675,NA
Culex_thalassius,29,Culex,thalassius,Culex thalassius,NA,NA,0,1799681,1799681,NA
Culex_tritaeniorhynchus,30,Culex,tritaeniorhynchus,Culex tritaeniorhynchus,Japanese encephalitis virus,11072,1,7178,7178,JEV
Culex_tritaeniorhynchus,30,Culex,tritaeniorhynchus,Culex tritaeniorhynchus,Murray Valley encephalitis virus,11079,1,7178,7178,MVEV
Culex_tritaeniorhynchus,30,Culex,tritaeniorhynchus,Culex tritaeniorhynchus,Saint Louis encephalitis virus,11080,1,7178,7178,SLEV
Culex_tritaeniorhynchus,30,Culex,tritaeniorhynchus,Culex tritaeniorhynchus,West Nile virus,11082,1,7178,7178,WNV
Culex_tritaeniorhynchus,30,Culex,tritaeniorhynchus,Culex tritaeniorhynchus,Yellow fever virus,11089,1,7178,7178,YFV
Culex_mimeticus,31,Culex,mimeticus,Culex mimeticus,Japanese encephalitis virus,11072,1,421623,421623,JEV
Culex_mimeticus,31,Culex,mimeticus,Culex mimeticus,West Nile virus,11082,1,421623,421623,WNV
Culex_modestus,32,Culex,modestus,Culex modestus,Japanese encephalitis virus,11072,1,545656,545656,JEV
Culex_modestus,32,Culex,modestus,Culex modestus,Murray Valley encephalitis virus,11079,1,545656,545656,MVEV
Culex_modestus,32,Culex,modestus,Culex modestus,West Nile virus,11082,1,545656,545656,WNV
Culex_theileri,33,Culex,theileri,Culex theileri,Japanese encephalitis virus,11072,1,561267,561267,JEV
Culex_theileri,33,Culex,theileri,Culex theileri,Saint Louis encephalitis virus,11080,1,561267,561267,SLEV
Culex_theileri,33,Culex,theileri,Culex theileri,West Nile virus,11082,1,561267,561267,WNV
Culex_theileri,33,Culex,theileri,Culex theileri,Yellow fever virus,11089,1,561267,561267,YFV
Culex_laticinctus,34,Culex,laticinctus,Culex laticinctus,West Nile virus,11082,1,1464561,1464561,WNV
Culex_vagans,35,Culex,vagans,Culex vagans,NA,NA,0,1144254,1144254,NA
Culex_torrentium,36,Culex,torrentium,Culex torrentium,Japanese encephalitis virus,11072,1,42433,42433,JEV
Culex_torrentium,36,Culex,torrentium,Culex torrentium,West Nile virus,11082,1,42433,42433,WNV
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,Dengue virus 2,11060,1,7176,7176,DNV2
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,Japanese encephalitis virus,11072,1,7176,7176,JEV
