Species,COX1,COI,internal transcribed spacer 2,16S,28S,18S
Culex modestus,MN978924.1,MK402912.1,MK972128.1,NA,NA,NA
Culex perexiguus,NA,MK170091.1,NA,NA,NA,NA
Culex pipiens,NA,HM008671.1,NA,NA,NA,NA
Culex poicilipes,NA,NA,NA,NA,NA,NA
Culex pseudovishnui,KT387305.1,MF278812.1,MF288848.1,NA,KY087522.1,AF165895.1
Culex quinquefasciatus,NA,MK713993.1,MF288853.1,NA,JX500435.1,MG546069.1
Culex simpsoni,NA,KU187061.1,NA,NA,NA,NA
Culex sinaiticus,NA,MK170097.1,NA,NA,NA,NA
Culex sitiens,KF564729.1,MN398411.1,NA,NA,KF687572.1,AY035885.1
Culex territans,NA,MN520655.1,NA,NA,NA,NA
Culex thalassius,NA,KU187076.1,NA,NA,NA,NA
Culex theileri,NA,MK402927.1,MK972064.1,NA,NA,NA
Culex torrentium,NA,HM008672.1,MK972103.1,NA,JX500438.1,JX500438.1
Culex tritaeniorhynchus,NA,MK861440.1,MF288846.1,KX085417.1,NA,NA
Culex univittatus,LC102162.1,MK033262.1,NA,NA,NA,KU056519.1
Culex vagans,NA,LC054504.1,NA,NA,NA,NA
Culiseta alaskaensis,NA,KP942744.1,NA,NA,NA,NA
Culiseta annulata,NA,MK402919.1,NA,NA,NA,NA
Culiseta bergrothi,LC371757.1,KP942746.1,NA,NA,NA,NA
Culiseta fumipennis,NA,KU748471.1,NA,NA,NA,NA
Culiseta glaphyroptera,NA,MG682561.1,NA,NA,NA,NA
Culiseta litorea,NA,MK402877.1,NA,NA,NA,NA
Culiseta longiareolata,NA,MN005050.1,MK861166.1,NA,KF483837.1,NA
Culiseta morsitans,NA,KR383868.1,NA,NA,NA,NA
Culiseta ochroptera,NA,MG780842.1,NA,NA,NA,NA
Culiseta subochrea,NA,MK402916.1,MG954356.1,NA,NA,NA
Orthopodomyia pulcripalpis,NA,KY608735.1,FJ867653.1,NA,FJ867653.1,NA
Uranotaenia balfouri,NA,KM097030.1,NA,NA,NA,NA
Uranotaenia unguiculata,NA,MK402908.1,KY399843.1,NA,KY399843.1,NA
