Species,Cytochrome c oxidase subunit I,COX1,CO1,COI,COI_copy
Culex hortensis,NA,NA,NA,MK402871.1,MK402871.1
Culex impudicus,NA,NA,NA,MK402901.1,MK402901.1
Culex laticinctus,NA,NA,NA,MF059294.1,MF059294.1
Culex martinii,NA,NA,NA,MH459177.1,MH459177.1
Culex mimeticus,NA,NA,NA,MK402806.1,MK402806.1
Culex modestus,NA,NA,NA,MK402912.1,MK402912.1
Culex perexiguus,NA,NA,NA,MK170091.1,MK170091.1
Culex pipiens,NA,NA,NA,MN005047.1,MN005047.1
Culex poicilipes,NA,NA,NA,NA,NA
Culex pseudovishnui,NA,KT387305.1,MH778957.1,MF278812.1,MF278812.1
Culex quinquefasciatus,NA,NA,MK370091.1,MK713993.1,MK713993.1
Culex simpsoni,NA,NA,NA,KU187061.1,KU187061.1
Culex sinaiticus,NA,NA,NA,MK170097.1,MK170097.1
Culex sitiens,NA,KF564729.1,NA,MN398411.1,MN398411.1
Culex territans,NA,NA,NA,MN520655.1,MN520655.1
Culex thalassius,NA,NA,NA,KU187076.1,KU187076.1
Culex theileri,NA,NA,NA,MK402927.1,MK402927.1
Culex torrentium,NA,NA,NA,MK403031.1,MK403031.1
Culex tritaeniorhynchus,NA,NA,MH752132.1,MK861440.1,MK861440.1
Culex univittatus,NA,LC102162.1,NA,MK033262.1,MK033262.1
Culex vagans,NA,NA,NA,LC054504.1,LC054504.1
Culiseta alaskaensis,NA,NA,NA,KP942744.1,KP942744.1
Culiseta annulata,NA,NA,NA,MK402919.1,MK402919.1
Culiseta bergrothi,NA,LC371757.1,NA,KP942746.1,KP942746.1
Culiseta fumipennis,NA,NA,NA,KU748471.1,KU748471.1
Culiseta glaphyroptera,NA,NA,NA,MG682561.1,MG682561.1
Culiseta litorea,NA,NA,NA,MK402877.1,MK402877.1
Culiseta longiareolata,NA,NA,NA,MN005050.1,MN005050.1
Culiseta morsitans,NA,NA,NA,KR383868.1,KR383868.1
Culiseta ochroptera,NA,NA,NA,MG780842.1,MG780842.1
Culiseta subochrea,NA,NA,NA,MK402916.1,MK402916.1
Orthopodomyia pulcripalpis,NA,NA,NA,KY608735.1,KY608735.1
Uranotaenia balfouri,NA,NA,NA,KM097030.1,KM097030.1
Uranotaenia unguiculata,NA,NA,KM280589.1,MK402908.1,MK402908.1
