"","label","node","genus","species","scientificname.y","virus_name","vtaxid","interaction","uid","mostaxid","virus_code"
"50","Culex_univittatus",23,"Culex","univittatus","Culex univittatus","West Nile virus",11082,1,420550,420550,"WNV"
"51","Culex_univittatus",23,"Culex","univittatus","Culex univittatus","Yellow fever virus",11089,1,420550,420550,"YFV"
"52","Culex_perexiguus",24,"Culex","perexiguus","Culex perexiguus","Japanese encephalitis virus",11072,1,943103,943103,"JEV"
"53","Culex_perexiguus",24,"Culex","perexiguus","Culex perexiguus","West Nile virus",11082,1,943103,943103,"WNV"
"54","Culex_sitiens",25,"Culex","sitiens","Culex sitiens","Japanese encephalitis virus",11072,1,162998,162998,"JEV"
"55","Culex_sitiens",25,"Culex","sitiens","Culex sitiens","Murray Valley encephalitis virus",11079,1,162998,162998,"MVEV"
"56","Culex_sitiens",25,"Culex","sitiens","Culex sitiens","West Nile virus",11082,1,162998,162998,"WNV"
"57","Culex_sinaiticus",26,"Culex","sinaiticus","Culex sinaiticus","West Nile virus",11082,1,1799677,1799677,"WNV"
"58","Culex_pseudovishnui",27,"Culex","pseudovishnui","Culex pseudovishnui","Japanese encephalitis virus",11072,1,100677,100677,"JEV"
"59","Culex_pseudovishnui",27,"Culex","pseudovishnui","Culex pseudovishnui","West Nile virus",11082,1,100677,100677,"WNV"
"60","Culex_duttoni",28,"Culex","duttoni","Culex duttoni",NA,NA,NA,1799675,1799675,NA
"61","Culex_thalassius",29,"Culex","thalassius","Culex thalassius",NA,NA,NA,1799681,1799681,NA
"62","Culex_tritaeniorhynchus",30,"Culex","tritaeniorhynchus","Culex tritaeniorhynchus","Japanese encephalitis virus",11072,1,7178,7178,"JEV"
"63","Culex_tritaeniorhynchus",30,"Culex","tritaeniorhynchus","Culex tritaeniorhynchus","Murray Valley encephalitis virus",11079,1,7178,7178,"MVEV"
"64","Culex_tritaeniorhynchus",30,"Culex","tritaeniorhynchus","Culex tritaeniorhynchus","Saint Louis encephalitis virus",11080,1,7178,7178,"SLEV"
"65","Culex_tritaeniorhynchus",30,"Culex","tritaeniorhynchus","Culex tritaeniorhynchus","West Nile virus",11082,1,7178,7178,"WNV"
"66","Culex_tritaeniorhynchus",30,"Culex","tritaeniorhynchus","Culex tritaeniorhynchus","Yellow fever virus",11089,1,7178,7178,"YFV"
"67","Culex_mimeticus",31,"Culex","mimeticus","Culex mimeticus","Japanese encephalitis virus",11072,1,421623,421623,"JEV"
"68","Culex_mimeticus",31,"Culex","mimeticus","Culex mimeticus","West Nile virus",11082,1,421623,421623,"WNV"
"69","Culex_modestus",32,"Culex","modestus","Culex modestus","Japanese encephalitis virus",11072,1,545656,545656,"JEV"
"70","Culex_modestus",32,"Culex","modestus","Culex modestus","Murray Valley encephalitis virus",11079,1,545656,545656,"MVEV"
"71","Culex_modestus",32,"Culex","modestus","Culex modestus","West Nile virus",11082,1,545656,545656,"WNV"
"72","Culex_theileri",33,"Culex","theileri","Culex theileri","Japanese encephalitis virus",11072,1,561267,561267,"JEV"
"73","Culex_theileri",33,"Culex","theileri","Culex theileri","Saint Louis encephalitis virus",11080,1,561267,561267,"SLEV"
"74","Culex_theileri",33,"Culex","theileri","Culex theileri","West Nile virus",11082,1,561267,561267,"WNV"
"75","Culex_theileri",33,"Culex","theileri","Culex theileri","Yellow fever virus",11089,1,561267,561267,"YFV"
"76","Culex_laticinctus",34,"Culex","laticinctus","Culex laticinctus","West Nile virus",11082,1,1464561,1464561,"WNV"
"77","Culex_vagans",35,"Culex","vagans","Culex vagans",NA,NA,NA,1144254,1144254,NA
"78","Culex_torrentium",36,"Culex","torrentium","Culex torrentium","Japanese encephalitis virus",11072,1,42433,42433,"JEV"
"79","Culex_torrentium",36,"Culex","torrentium","Culex torrentium","West Nile virus",11082,1,42433,42433,"WNV"
"80","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","Dengue virus 2",11060,1,7176,7176,"DNV2"
"81","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","Japanese encephalitis virus",11072,1,7176,7176,"JEV"
